Date,Region,Product,Customer,Units Sold,Unit Price,Sales
2024-07-19,South,Smartphone,Customer_21,1,566.53,566.53
2024-04-17,South,Tablet,Customer_1,3,330.71,992.13
2024-06-06,West,Keyboard,Customer_25,2,37.43,74.86
2024-08-19,North,Smartphone,Customer_23,3,647.45,1942.35
2024-12-21,East,Monitor,Customer_39,4,251.19,1004.76
2025-08-18,East,Laptop,Customer_23,1,881.92,881.92
2024-03-01,North,Headphones,Customer_22,2,87.12,174.24
2025-08-08,West,Smartphone,Customer_23,3,711.24,2133.72
2025-08-17,North,Smartwatch,Customer_7,1,223.04,223.04
2025-04-01,North,Mouse,Customer_58,3,29.61,88.83
2025-09-25,East,Smartphone,Customer_48,1,680.21,680.21
2025-03-28,West,Tablet,Customer_41,3,347.39,1042.17
2024-10-03,Central,Mouse,Customer_58,1,27.45,27.45
2024-07-10,West,Keyboard,Customer_52,3,42.63,127.89
2025-02-07,North,Keyboard,Customer_18,4,41.99,167.96
2024-12-05,West,Smartwatch,Customer_9,3,201.21,603.63
2025-03-12,South,Keyboard,Customer_37,3,47.14,141.42
2024-11-27,Central,Laptop,Customer_48,2,813.88,1627.76
2024-07-10,North,Laptop,Customer_60,2,770.92,1541.84
2025-09-08,North,Monitor,Customer_22,3,257.84,773.52
2025-05-26,South,Smartphone,Customer_15,5,602.99,3014.95
2024-12-21,West,Monitor,Customer_15,2,225.07,450.14
2025-09-30,East,Smartphone,Customer_14,1,622.96,622.96
2024-09-07,West,Tablet,Customer_8,2,326.32,652.64
2024-04-06,Central,Headphones,Customer_2,4,83.3,333.2
2025-04-03,South,Monitor,Customer_3,3,266.81,800.43
2024-12-28,North,Mouse,Customer_18,2,24.94,49.88
2025-04-15,South,Tablet,Customer_13,1,,351.28
2025-03-26,South,Smartphone,Customer_41,4,601.27,2405.08
2024-04-09,North,Smartphone,Customer_39,1,610.01,610.01
2024-04-24,East,Smartphone,Customer_22,1,637.1,637.1
2025-09-18,West,Headphones,Customer_14,1,92.11,92.11
2024-10-24,North,Smartwatch,Customer_27,5,183.58,917.9
2025-02-28,North,Laptop,Customer_36,4,932.35,3729.4
2024-06-18,North,Monitor,Customer_25,5,233.59,1167.95
2024-09-28,West,Laptop,Customer_50,1,794.85,794.85
2024-03-08,West,Smartphone,Customer_40,4,543.81,2175.24
2024-08-05,North,Mouse,Customer_39,1,23.5,23.5
2024-06-09,North,Laptop,Customer_13,3,856.39,2569.17
2025-03-05,South,Smartphone,Customer_59,2,706.72,1413.44
2024-04-15,North,Smartwatch,Customer_21,2,208.22,416.44
2024-05-03,North,Smartphone,Customer_11,2,586.01,1172.02
2025-02-13,East,Laptop,Customer_37,4,911.3,3645.2
2024-03-29,East,Smartwatch,Customer_51,1,213.1,213.1
2025-11-23,South,Laptop,Customer_18,2,865.21,1730.42
2025-07-12,West,Tablet,Customer_19,3,364.85,1094.55
2025-11-19,West,Smartwatch,Customer_27,2,234.25,468.5
2025-08-18,East,Laptop,Customer_39,3,852.82,2558.46
2024-07-20,West,Monitor,Customer_56,1,242.16,242.16
2025-05-14,West,Laptop,Customer_2,4,867.85,3471.4
2024-07-04,East,Monitor,Customer_22,1,271.01,271.01
2025-02-13,North,Keyboard,Customer_55,5,39.38,196.9
2024-10-20,West,Laptop,Customer_32,1,736.45,736.45
2025-06-21,East,Tablet,Customer_43,2,395.42,790.84
2024-04-21,North,Headphones,Customer_20,4,74.07,296.28
2024-03-27,South,Tablet,Customer_51,1,361.93,361.93
2024-03-21,North,Keyboard,Customer_32,2,36.74,73.48
2024-06-12,North,Mouse,Customer_47,3,24.47,73.41
2025-03-21,North,Keyboard,Customer_27,1,43.08,43.08
2024-12-26,West,Smartphone,Customer_43,3,636.97,1910.91
2025-06-28,East,Monitor,Customer_49,5,278.94,1394.7
2024-06-19,West,Mouse,Customer_17,2,25.29,50.58
2025-06-09,West,Smartphone,Customer_35,2,683.25,1366.5
2024-12-29,North,Keyboard,Customer_21,2,40.39,80.78
2024-08-08,West,Monitor,Customer_38,1,262.42,262.42
2025-09-16,South,Monitor,Customer_1,2,280.4,560.8
2025-03-24,West,Headphones,Customer_39,3,83.03,249.09
2024-11-19,East,Tablet,Customer_45,1,372.27,372.27
2025-06-05,South,Smartwatch,Customer_5,3,220.23,660.69
2025-08-06,East,Laptop,Customer_27,4,781.37,3125.48
2024-03-13,South,Laptop,Customer_58,4,829.14,3316.56
2024-10-20,South,Laptop,Customer_15,1,876.74,876.74
2024-01-08,West,Laptop,Customer_25,5,766.91,3834.55
2025-07-30,East,Smartwatch,Customer_21,1,219.01,219.01
2025-12-11,East,Headphones,Customer_36,2,84.63,169.26
2024-12-20,South,Tablet,Customer_9,4,326.6,1306.4
2025-10-16,South,Smartwatch,Customer_53,1,216.01,216.01
2024-03-05,North,Monitor,Customer_32,2,242.5,485.0
2025-09-18,North,Laptop,Customer_12,3,884.97,2654.91
2024-05-21,South,Tablet,Customer_12,1,380.57,380.57
2025-09-15,North,Smartphone,Customer_33,5,641.03,3205.15
2024-04-04,South,Smartphone,Customer_46,2,559.71,1119.42
2024-06-17,South,Headphones,Customer_48,1,82.93,82.93
2024-01-26,East,Smartphone,Customer_54,5,611.08,3055.4
2024-03-19,Central,Smartphone,Customer_35,2,582.22,1164.44
2024-10-19,East,Tablet,Customer_18,1,332.89,332.89
2025-02-19,North,Smartwatch,Customer_58,3,215.19,645.57
2025-09-15,Central,Keyboard,Customer_60,4,40.78,163.12
2024-04-09,South,Smartphone,Customer_49,3,627.01,1881.03
2025-09-06,East,Smartphone,Customer_20,2,638.13,1276.26
2025-06-25,South,Headphones,Customer_11,1,85.16,85.16
2024-02-13,North,Mouse,Customer_14,3,25.61,76.83
2024-01-08,West,Laptop,Customer_42,1,832.16,832.16
2024-04-15,North,Headphones,Customer_58,3,72.75,218.25
2024-03-11,North,Tablet,Customer_8,1,335.4,335.4
2025-04-06,East,Laptop,Customer_48,4,942.03,3768.12
2024-11-11,North,Monitor,Customer_1,1,242.4,242.4
2024-08-11,West,Laptop,Customer_45,1,756.18,756.18
2025-02-23,East,Tablet,Customer_15,2,391.27,782.54
2024-02-01,Central,Keyboard,Customer_36,1,40.5,40.5
2024-05-01,West,Smartphone,Customer_18,3,559.3,1677.9
2025-11-25,North,Keyboard,Customer_4,2,40.39,80.78
2025-09-09,East,Monitor,Customer_17,2,261.08,522.16
2024-01-26,South,Tablet,Customer_48,3,365.11,1095.33
2025-09-16,East,Tablet,Customer_58,1,397.65,397.65
2024-10-30,North,Headphones,Customer_11,2,82.06,164.12
2025-04-04,North,Smartwatch,Customer_37,3,209.72,629.16
2024-09-20,East,Headphones,Customer_20,1,78.72,78.72
2025-11-30,South,Smartwatch,Customer_7,1,194.42,194.42
2025-07-25,East,Mouse,Customer_12,1,28.9,28.9
2024-04-10,North,Keyboard,Customer_37,3,41.65,124.95
2024-07-11,West,Tablet,Customer_46,1,346.36,346.36
2025-03-07,South,Keyboard,Customer_46,2,40.42,80.84
2025-03-12,West,Headphones,Customer_45,2,87.54,175.08
2024-10-05,North,Laptop,Customer_45,1,861.67,861.67
2024-10-14,South,Keyboard,Customer_30,2,43.11,86.22
2024-09-18,West,Laptop,Customer_19,1,865.35,865.35
2024-10-27,South,Smartwatch,Customer_43,1,192.11,192.11
2025-10-24,East,Monitor,Customer_28,1,249.24,249.24
2024-10-22,North,Smartwatch,Customer_19,5,214.25,1071.25
2025-03-12,North,Tablet,Customer_25,2,350.69,701.38
